 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
840,4401.332,2236.059,4072.513,2453.904,9873.729,3280.790,2303.326,2309.943,1919.615,3400.003,3109.022,1733.556,3588.800,2998.490,2084.803,2162.163,3356.169,4094.140,7358.512,5020.593,7024.919,1964.989,1728.055,2307.050,1325.554,6984.159,2145.310,12018.295,3993.188,4857.702,1689.298,1743.782,2222.787,6952.595,2373.140,4447.625,3984.424,2062.782,3473.625
841,4407.604,2237.476,4074.841,2454.545,9879.700,3284.428,2307.421,2311.267,1920.852,3401.106,3106.708,1736.290,3588.069,3000.470,2086.474,2165.609,3360.901,4092.003,7367.730,5026.193,7034.512,1964.632,1729.134,2305.997,1326.899,6989.640,2144.893,12021.024,4031.723,4871.483,1691.717,1742.437,2224.780,6960.993,2375.278,4452.382,3982.884,2062.020,3475.479
842,4400.969,2236.131,4072.614,2453.774,9862.783,3276.570,2304.753,2312.303,1920.079,3401.125,3110.448,1735.699,3587.604,2999.503,2087.622,2161.688,3357.314,4093.048,7359.015,5024.622,7031.239,1963.884,1728.666,2303.167,1327.502,6986.474,2142.108,12020.946,4063.324,4870.975,1688.056,1741.570,2221.586,6957.398,2374.615,4452.956,3981.405,2062.759,3478.946
843,4397.797,2233.559,4070.092,2451.120,9859.717,3277.594,2301.177,2311.920,1919.494,3400.517,3108.140,1737.592,3584.398,2995.473,2085.544,2161.756,3356.322,4088.885,7358.452,5022.166,7020.196,1960.641,1726.515,2299.521,1325.153,6985.379,2142.354,12022.244,4090.591,4867.598,1687.492,1742.040,2221.620,6950.265,2370.444,4447.313,3979.865,2060.224,3473.525
844,4401.067,2235.918,4075.035,2454.729,9874.876,3282.854,2304.323,2311.720,1920.793,3405.405,3111.023,1741.945,3593.020,3002.267,2082.608,2164.571,3359.390,4098.371,7364.196,5028.066,7022.885,1960.614,1729.266,2300.457,1325.334,6993.013,2144.761,12040.135,4129.411,4870.682,1688.863,1744.184,2222.664,6958.501,2374.107,4451.884,3984.446,2061.375,3478.456
845,4396.502,2232.747,4071.295,2450.766,9862.240,3274.997,2301.675,2306.585,1919.474,3399.955,3104.843,1739.619,3585.529,2992.579,2084.669,2159.913,3355.875,4082.917,7351.102,5017.586,7017.208,1956.578,1727.349,2294.436,1325.667,6978.531,2142.281,12029.282,4148.388,4865.716,1686.914,1742.018,2220.434,6942.094,2370.866,4443.783,3978.507,2059.823,3476.879
846,4397.396,2236.025,4072.705,2452.701,9869.924,3279.418,2303.416,2311.213,1920.273,3402.069,3109.984,1745.349,3594.632,2996.288,2083.504,2160.082,3360.234,4093.611,7363.214,5022.906,7030.312,1956.854,1727.806,2294.917,1325.305,6988.852,2143.153,12052.694,4182.296,4871.265,1688.273,1742.968,2224.025,6950.646,2372.850,4450.441,3981.497,2060.483,3474.251
847,4394.800,2234.603,4070.012,2451.960,9862.562,3278.544,2303.093,2309.480,1918.345,3399.368,3106.261,1746.766,3586.361,2993.655,2080.626,2164.240,3354.176,4086.370,7357.299,5020.027,7025.987,1955.379,1726.939,2291.295,1325.894,6987.836,2142.713,12046.944,4209.031,4867.362,1686.525,1741.307,2222.016,6946.741,2370.026,4446.586,3978.277,2059.292,3473.381
848,4391.836,2234.875,4070.723,2449.616,9867.467,3276.861,2302.531,2310.607,1919.588,3400.224,3106.703,1750.047,3585.900,2994.808,2083.305,2161.049,3355.470,4082.749,7350.506,5016.391,7025.821,1953.676,1725.699,2290.765,1324.908,6986.458,2141.238,12052.830,4234.819,4871.015,1688.441,1740.925,2223.577,6943.835,2370.224,4447.625,3980.275,2059.946,3473.760
849,4395.253,2233.691,4073.548,2451.193,9866.884,3276.758,2303.033,2309.305,1919.120,3399.338,3107.103,1750.556,3585.243,2992.562,2081.445,2161.179,3355.971,4084.177,7355.991,5019.214,7028.490,1953.124,1725.829,2290.919,1324.163,6994.119,2143.232,12053.240,4261.995,4874.092,1688.583,1742.413,2220.571,6947.206,2370.950,4447.291,3977.965,2060.071,3470.427
850,4390.911,2233.786,4069.118,2446.543,9856.470,3274.289,2303.570,2306.681,1917.990,3395.838,3103.309,1749.378,3579.649,2990.016,2082.202,2160.401,3348.586,4078.892,7352.525,5013.836,7020.713,1950.507,1724.442,2285.709,1323.500,6979.195,2140.419,12047.410,4284.839,4873.829,1685.573,1742.725,2217.345,6939.484,2368.465,4440.017,3972.938,2059.386,3462.582
