 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
485,983.655,1127.104,1331.934,1038.851,969.309,979.280,958.042,1006.844,980.304,986.132,948.026,910.052,932.059,1094.111,1126.413,1085.394,989.017,983.762,947.493,927.807,1088.367,1093.485,1003.892,1010.561,1068.971,945.841,947.429,983.974,988.680,1067.517,1075.733,1099.813,956.223,971.841,966.417,1026.658,1012.041,982.761,1059.806,1008.607,967.708,1073.123,1051.881,961.374,1000.774,962.948
486,979.388,1122.525,1324.578,1038.428,968.261,978.675,957.015,1003.082,979.165,985.545,947.185,911.772,931.573,1092.000,1124.543,1082.173,987.170,983.555,944.844,926.450,1084.736,1091.025,1000.233,1010.617,1066.345,946.003,946.833,982.308,988.104,1063.403,1073.358,1094.802,953.739,970.191,965.060,1024.323,1010.115,982.164,1058.354,1007.250,966.736,1067.233,1050.373,959.892,999.188,961.535
487,978.868,1120.514,1317.498,1036.399,968.913,978.296,956.960,1003.093,977.930,984.647,946.597,911.542,930.045,1088.622,1121.928,1079.835,985.994,981.701,945.664,927.339,1081.131,1087.330,999.064,1008.980,1065.339,946.005,947.251,980.356,988.380,1062.844,1071.485,1091.754,953.604,969.606,966.093,1023.807,1009.608,981.051,1055.031,1007.935,966.178,1065.667,1048.505,960.503,999.479,962.534
488,977.720,1119.245,1311.596,1034.996,968.673,976.743,956.659,999.729,978.327,985.277,945.982,908.934,931.708,1086.221,1121.881,1077.996,986.148,981.491,946.325,925.208,1078.583,1085.560,997.692,1007.661,1063.973,944.744,946.984,982.625,987.901,1060.678,1069.782,1090.666,953.702,968.733,965.065,1023.143,1009.565,981.322,1053.481,1008.033,965.760,1062.286,1047.595,959.482,996.333,960.742
489,977.529,1117.230,1307.473,1034.626,968.285,978.148,955.740,997.761,976.186,985.503,945.582,911.624,931.294,1084.873,1120.138,1077.096,985.417,982.191,945.192,924.475,1077.501,1082.855,998.794,1007.434,1063.840,943.098,946.617,981.813,986.745,1058.314,1068.673,1088.207,952.500,966.180,966.266,1020.457,1009.749,979.971,1050.325,1010.392,965.567,1061.604,1045.378,961.737,995.769,958.248
490,975.599,1114.808,1303.310,1033.627,968.994,977.879,956.508,997.027,975.698,983.132,943.099,909.357,930.098,1083.755,1116.362,1073.592,986.861,980.143,943.601,926.892,1073.099,1079.263,997.284,1008.294,1061.557,943.808,946.446,980.284,985.445,1055.120,1067.130,1085.713,952.728,967.161,965.583,1021.276,1006.211,981.852,1047.621,1008.887,964.898,1059.459,1044.285,958.074,993.801,959.225
491,970.248,1109.145,1296.854,1032.572,967.800,976.703,957.464,992.206,974.369,985.325,942.119,908.981,928.063,1083.637,1116.195,1070.379,982.276,979.061,945.691,925.945,1069.487,1076.370,996.718,1005.901,1060.797,943.032,945.767,983.967,983.849,1052.356,1063.995,1080.057,952.752,964.693,964.677,1019.742,1006.586,980.710,1045.865,1007.933,965.154,1054.485,1040.995,956.416,993.057,957.457
492,970.308,1109.020,1291.307,1030.688,966.490,977.809,955.790,993.046,974.454,983.325,942.957,908.496,928.879,1082.121,1113.234,1069.457,980.607,977.768,949.724,925.199,1067.678,1073.000,996.624,1005.084,1057.975,941.949,944.751,981.499,983.632,1052.117,1062.143,1078.111,950.558,965.669,962.869,1018.947,1006.446,978.095,1045.205,1008.958,963.588,1051.510,1041.521,956.784,991.661,954.278
493,967.484,1108.794,1286.966,1029.984,966.172,976.969,956.578,990.259,973.940,983.309,941.606,908.474,928.501,1081.600,1115.123,1067.799,983.513,978.111,948.537,927.329,1065.033,1070.998,994.655,1002.622,1057.360,940.771,943.600,983.208,982.235,1049.520,1060.151,1075.151,950.201,964.046,963.081,1017.938,1005.814,979.256,1041.590,1007.286,961.293,1051.663,1039.336,954.428,990.022,956.007
494,967.240,1103.890,1281.338,1028.968,967.875,977.073,958.915,991.950,973.638,983.132,942.541,908.089,927.641,1079.227,1109.293,1066.321,981.606,977.266,949.249,925.541,1060.105,1067.371,994.470,1002.421,1056.605,941.749,944.054,982.267,982.966,1048.913,1058.824,1074.401,949.475,963.860,963.865,1017.741,1004.862,978.813,1042.689,1007.630,963.498,1048.824,1038.830,954.093,990.989,955.315
